TIME;OBJ
29.3000039;177562.78193731737
58.262724399999996;151635.00623853516
83.1790796;145094.30714081312
111.1906286;143016.68356824556
138.1505374;142501.52812519058
165.7371577;142283.08026339326
194.5542752;142109.13417358676
225.2480491;141946.89166175592
255.09025699999998;141796.79154356458
283.7928869;141620.24865376359
311.3139098;141433.04499508571
340.08135309999994;141216.510705084
369.84624909999997;140989.24309088607
401.90003549999994;140723.70631843025
434.30021439999996;140452.35502926013
466.23391439999995;140181.97402115885
497.8315336;139955.50871868362
522.5748965;139731.5883596381
547.4178759;139587.45280856418
571.9468343;139504.5122255998
596.084645;139449.2366974737
617.1464738;139412.8483880755
633.2507846999999;139389.69889024374
650.5134266;139377.75328438036
665.4731839;139371.4643352219
680.1530111999999;139367.08604701972
694.8907908;139362.67800679262
710.0361659;139361.36051268666
724.6801896;139360.404761938
739.480702;139358.8064521409
757.4180331;139358.84766223503
775.8214309;139358.7290069968
790.6791767;139359.24294004068
805.4261851;139359.7928734798
820.1215939;139360.7058712879
835.6214699999999;139362.13041042569
850.4224452;139362.33183991886
